trip_id,arrival_time,departure_time,stop_id,timepoint,stop_sequence
r13553067_Mo-Su,06:00:00,06:00:00,n7099924088,0,0
r13553067_Mo-Su,06:00:28,06:00:28,n3711605443,0,1
r13553067_Mo-Su,06:01:19,06:01:19,n3676244647,0,2
r13553067_Mo-Su,06:02:24,06:02:24,n4731124415,0,3
r13553067_Mo-Su,06:04:08,06:04:08,n8466849115,0,4
r13553067_Mo-Su,06:05:30,06:05:30,n8753072184,0,5
r13553067_Mo-Su,06:06:44,06:06:44,n9182568709,0,6
r13553067_Mo-Su,06:07:52,06:07:52,n7151947332,0,7
r13553067_Mo-Su,06:10:30,06:10:30,n4708279367,0,8
r13553067_Mo-Su,06:13:00,06:13:00,n4708279366,0,9
r13553067_Mo-Su,06:14:33,06:14:33,n7151965120,0,10
r13553067_Mo-Su,06:17:14,06:17:14,n9182568715,0,11
r13553067_Mo-Su,06:17:56,06:17:56,n8753072181,0,12
r13553067_Mo-Su,06:18:51,06:18:51,n9182595017,0,13
r13553067_Mo-Su,06:19:59,06:19:59,n9182595019,0,14
r13553067_Mo-Su,06:20:59,06:20:59,n4708279361,0,15
r13553067_Mo-Su,06:21:42,06:21:42,n9182595023,0,16
r13553067_Mo-Su,06:23:39,06:23:39,n8850041424,0,17
r13553067_Mo-Su,06:24:41,06:24:41,n9182595027,0,18
r13553067_Mo-Su,06:25:11,06:25:11,n8850032388,0,19
r13553067_Mo-Su,06:25:59,06:25:59,n8753072179,0,20
r13553067_Mo-Su,06:27:07,06:27:07,n9182595033,0,21
r13553067_Mo-Su,06:28:57,06:28:57,n9182595034,0,22
r13553067_Mo-Su,06:29:37,06:29:37,n9182595036,0,23
r13553067_Mo-Su,06:30:31,06:30:31,n9182595038,0,24
r13553067_Mo-Su,06:31:36,06:31:36,n9182595040,0,25
r13553067_Mo-Su,06:33:32,06:33:32,n9336655775,0,26
r13553067_Mo-Su,06:34:22,06:34:22,n4708733903,0,27
r13553067_Mo-Su,06:38:54,06:38:54,n9182595044,0,28
r13553067_Mo-Su,06:42:06,06:42:06,n8753072187,0,29
r13553067_Mo-Su,06:43:10,06:43:10,n4733928387,0,30
r13553067_Mo-Su,06:44:24,06:44:24,n8868464441,0,31
r13553067_Mo-Su,06:45:43,06:45:43,n8868464442,0,32
r13553067_Mo-Su,06:46:29,06:46:29,n9182595049,0,33
r13553067_Mo-Su,06:47:29,06:47:29,n9336655777,0,34
r13553067_Mo-Su,06:48:52,06:48:52,n4769428932,0,35
r13553067_Mo-Su,06:50:16,06:50:16,n9182595051,0,36
r13553067_Mo-Su,06:52:42,06:52:42,n9182595053,0,37
r13553067_Mo-Su,06:54:12,06:54:12,n9182595055,0,38
r13553067_Mo-Su,06:56:00,06:56:00,n9258708872,0,39
r13553067_Mo-Su,07:02:44,07:02:44,n5757830543,0,40
r13553067_Mo-Su,07:04:36,07:04:36,n2580734682,0,41
r13553067_Mo-Su,07:05:24,07:05:24,n9310588324,0,42
r13553067_Mo-Su,07:06:45,07:06:45,n5757830551,0,43
r13553067_Mo-Su,07:07:54,07:07:54,n9300974347,0,44
r13553067_Mo-Su,07:08:31,07:08:31,n5757830549,0,45
r13553067_Mo-Su,07:11:19,07:11:19,n9258708870,0,46
r13553067_Mo-Su,07:14:46,07:14:46,n9310588327,0,47
r13553067_Mo-Su,07:15:47,07:15:47,n2923441825,0,48
r13553066_Mo-Su,06:00:00,06:00:00,n2923441825,0,0
r13553066_Mo-Su,06:01:04,06:01:04,n9300974365,0,1
r13553066_Mo-Su,06:02:09,06:02:09,n4769436235,0,2
r13553066_Mo-Su,06:08:48,06:08:48,n6300587395,0,3
r13553066_Mo-Su,06:12:03,06:12:03,n2580734650,0,4
r13553066_Mo-Su,06:14:09,06:14:09,n2580734253,0,5
r13553066_Mo-Su,06:17:12,06:17:12,n9340054458,0,6
r13553066_Mo-Su,06:20:27,06:20:27,n9340054460,0,7
r13553066_Mo-Su,06:21:08,06:21:08,n4769428928,0,8
r13553066_Mo-Su,06:22:27,06:22:27,n9182595056,0,9
r13553066_Mo-Su,06:23:57,06:23:57,n9182595054,0,10
r13553066_Mo-Su,06:26:30,06:26:30,n3813525947,0,11
r13553066_Mo-Su,06:27:57,06:27:57,n4805940485,0,12
r13553066_Mo-Su,06:29:24,06:29:24,n9336655778,0,13
r13553066_Mo-Su,06:30:09,06:30:09,n9182595050,0,14
r13553066_Mo-Su,06:30:52,06:30:52,n9182595048,0,15
r13553066_Mo-Su,06:32:29,06:32:29,n9182595046,0,16
r13553066_Mo-Su,06:33:37,06:33:37,n9182595045,0,17
