stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
n2376855121,,Karingachira,,9.9516908,76.3583345,,,0,,,0
n2376866788,,Railway Station,,9.9468775,76.3532115,,,0,,,0
n2580734253,,Pipeline Junction,,10.0051815,76.3128361,,,0,,,0
n2580734650,,Ernakulam Medical Centre,,9.99898,76.3138595,,,0,,,0
n2580734682,,Ernakulam Medical Centre,,9.999015,76.3140901,,,0,,,0
n2780917203,,KSRTC Bus Station,,10.1449925,76.2317568,,,0,,,0
n2923441825,6.0,Vyttila,,9.9687963,76.3217495,,,0,,,0
n2965446278,,Chendamangalam Junction,,10.1489359,76.2350714,,,0,,,0
n3367437300,,Koonammavu,,10.1005014,76.2639074,,,0,,,0
n3676244647,,Namborichante aal,,10.1485159,76.2279749,,,0,,,0
n3711605443,,Civil Station,,10.1488947,76.2304841,,,0,,,0
n3813525947,,Vai padi,,10.0397032,76.3007241,,,0,,,0
n3996661158,,Ravipuram,,9.9591537,76.2889962,,,0,,,0
n4665138939,,KMK Junction,,10.1446931,76.2277819,,,0,,,0
n4708279359,,Cheranelloor Signal,,10.0622019,76.2881063,,,0,,,0
n4708279361,,Naalam Mile,,10.1145735,76.2596751,,,0,,,0
n4708279363,,Millupadi,,10.1218792,76.2546248,,,0,,,0
n4708279366,,Khandakarnan veli,,10.1274256,76.2434247,,,0,,,0
n4708279367,,Vazhikulangara,,10.1341612,76.2400735,,,0,,,0
n4708733903,,Varapuzha,,10.0786023,76.2750767,,,0,,,0
n4731124415,,Municipal Junction,,10.1480679,76.2247396,,,0,,,0
n4733928387,,Manjumel Kavala,,10.0580774,76.2907347,,,0,,,0
n4735966321,,Jose Junction,,9.9672944,76.2862212,,,0,,,0
n4769428928,,Edappally Junction,,10.0250912,76.3073159,,,0,,,0
n4769428932,,Kunnumpuram,,10.0432261,76.2990611,,,0,,,0
n4769436232,,Petta,,9.9501589,76.3320668,,,0,,,0
n4769436233,,Champakkara,,9.9547409,76.3275696,,,0,,,0
n4769436235,,Vyttila Junction,,9.969624,76.3179598,,,0,,,0
n4805940485,,Kunnumpuram,,10.0434863,76.2986487,,,0,,,0
n4889056845,,Aluva Police Station,,10.1029556,76.3584376,,,0,,,0
n5295234430,,Medical Trust Hospital,,9.9631509,76.2879268,,,0,,,0
n5377832022,,Hill Palace,,9.9519381,76.3613205,,,0,,,0
n5377841321,,Vadakkekotta,,9.9531132,76.3404726,,,0,,,0
n5757830266,,Kizhakkambalam,,10.0362603,76.4079875,,,0,,,0
n5757830267,,Achappan Kavala,,10.030862,76.408022,,,0,,,0
n5757830268,,Morakkala Church,,10.017612,76.4022274,,,0,,,0
n5757830281,,Padathikara,,10.0012286,76.3944375,,,0,,,0
n5757830283,,FACT Club,,9.9843969,76.3955826,,,0,,,0
n5757830284,,Harimattam Ambalam,,9.9858864,76.3919432,,,0,,,0
n5757830285,,Ambalamedu Post Office,,9.9836258,76.3892634,,,0,,,0
n5757830286,,Kuzhikkad,,9.9779433,76.3849696,,,0,,,0
n5757830287,,Chakku Company,,9.9945697,76.396456,,,0,,,0
n5757830289,,HOC,,9.9707313,76.3810613,,,0,,,0
n5757830290,,Cochin Refinery,,9.9691994,76.3783832,,,0,,,0
n5757830291,,Jwalagiri,,9.9754332,76.3813003,,,0,,,0
n5757830294,,Kollanpady,,9.9565995,76.3655254,,,0,,,0
n5757830296,,IOC,,9.9635121,76.3742254,,,0,,,0
n5757830298,,Chitrapuzha,,9.959266,76.3671193,,,0,,,0
n5757830543,,Pipeline Junction,,10.0045621,76.3132997,,,0,,,0
n5757830549,,Vaishali,,9.9874521,76.3160497,,,0,,,0
n5757830551,,Puthiya Road Bypass Junction,,9.9926588,76.3151349,,,0,,,0
n5757830558,,Sub Station,,9.9633059,76.3190876,,,0,,,0
n5757830560,,OEN,,9.9609871,76.3218673,,,0,,,0
n6039119919,,NAD Kavala,,10.0696578,76.3856327,,,0,,,0
n6043556589,,Kunjattukara,,10.0653482,76.3899502,,,0,,,0
n6300587395,,Chakkaraparambu,,9.989384,76.3155185,,,0,,,0
n6996454939,,Nadakkavu,,9.8979466,76.3693632,,,0,,,0
n7068947210,,Elamkulam Junction,,9.9676489,76.3049747,,,0,,,0
n7068947211,,Elamkulam Junction,,9.9678782,76.3050171,,,0,,,0
n7099924088,,North Paravur,,10.1495163,76.2317707,,,0,,,0
n7102134354,,Thekke Naaluvazhi,,10.1404953,76.2294122,,,0,,,0
n7131595937,,Kadavanthra,,9.966629,76.2987001,,,0,,,0
n7151947331,,Peruvaaram,,10.1415319,76.2366632,,,0,,,0
n7151947332,,Peruvaaram,,10.1413386,76.2368672,,,0,,,0
n7151965119,,Cheriyappilly,,10.1235656,76.2449451,,,0,,,0
n7151965120,,Cheriyappilly,,10.12315,76.245264,,,0,,,0
n7175749752,,Kadavanthara Junction,,9.9674266,76.3000523,,,0,,,0
